 , C00, C01, C02, C03, C04, C05, C06, C07, C08, C09, C10, C11, C12, C13, C14
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
1.49883, 0.09773141, 0.1001588, 0.2172232, 0.09331597, 0.04518217, 0.1765091, 0.1563496, 0.1540126, 0.06826667, 0.06197483, 0.0005757168, -4.656613e-10, 0.006763186, 0.006299965, 0.01330138
1.548791, 0.09353896, 0.0980917, 0.2067424, 0.08798326, 0.04251456, 0.1749857, 0.1596667, 0.1569039, 0.06529003, 0.06564464, 0.0005508673, -9.313226e-10, 0.006470124, 0.007153951, 0.01391646
1.598752, 0.08831643, 0.09507906, 0.1967673, 0.0829553, 0.04000447, 0.1708719, 0.1628336, 0.1558139, 0.06244318, 0.06171178, 0.0005270899, -4.656613e-10, 0.01048099, 0.006705671, 0.01332937
1.648713, 0.08338547, 0.1019322, 0.193579, 0.07821466, 0.03764256, 0.1632349, 0.1599114, 0.1487234, 0.05972046, 0.05801453, 0.0005043386, -4.656613e-10, 0.01002683, 0.006285482, 0.01520252
1.698674, 0.08102818, 0.1016934, 0.2076331, 0.07374495, 0.0354201, 0.1559393, 0.1671379, 0.151557, 0.05711645, 0.0545388, 0.0004825699, 0.006881927, 0.01136373, 0.005891622, 0.01456117
1.748635, 0.07815889, 0.09809412, 0.2144843, 0.06953065, 0.03332886, 0.1489697, 0.1679564, 0.150458, 0.05820221, 0.05127129, 0.001227352, 0.01449067, 0.01591693, 0.005522442, 0.01394689
1.798596, 0.07379506, 0.09984094, 0.2204976, 0.0655572, 0.03136109, 0.1454159, 0.1748716, 0.1436156, 0.05566441, 0.04819956, 0.001174375, 0.01635174, 0.02107877, 0.01161604, 0.01335851
1.848557, 0.07542033, 0.09771777, 0.2146173, 0.06181081, 0.0295095, 0.1495718, 0.1732746, 0.1414739, 0.05491916, 0.04531185, 0.001721704, 0.01849698, 0.02307073, 0.01088816, 0.01279496
1.898518, 0.0712094, 0.09294984, 0.2193308, 0.05827852, 0.02776723, 0.1447165, 0.1684591, 0.1345189, 0.05252451, 0.04259715, 0.001647389, 0.01956309, 0.02207103, 0.01020588, 0.01225518
1.948479, 0.07148349, 0.09482372, 0.2171186, 0.05494808, 0.02612782, 0.1382485, 0.160777, 0.1279058, 0.05529136, 0.04004509, 0.001576283, 0.01875724, 0.02111465, 0.01325223, 0.01402312
1.99844, 0.06749237, 0.090197, 0.2066429, 0.05180797, 0.02458521, 0.1345955, 0.1587749, 0.1216179, 0.06190901, 0.03764593, 0.001508245, 0.0179846, 0.02019971, 0.01356446, 0.01343153
2.048401, 0.06501684, 0.08696096, 0.2016542, 0.05576171, 0.02313367, 0.1327576, 0.1612761, 0.1201439, 0.05920959, 0.0353905, 0.002034754, 0.02135082, 0.01932442, 0.01271449, 0.0128649
2.098362, 0.06138676, 0.08464661, 0.1955889, 0.05361414, 0.02176784, 0.1268241, 0.1539216, 0.1142375, 0.06384324, 0.03327021, 0.001946928, 0.02218195, 0.01848706, 0.01191778, 0.01232217
2.148323, 0.06530788, 0.0944455, 0.1861519, 0.06202357, 0.02454187, 0.1211558, 0.1541505, 0.1086215, 0.06394757, 0.03127694, 0.001862892, 0.02126823, 0.01768598, 0.02009013, 0.01180234
2.198284, 0.06612399, 0.08983722, 0.1857958, 0.06578659, 0.02639304, 0.1269948, 0.147121, 0.1032816, 0.06115926, 0.02940309, 0.001782483, 0.02337808, 0.01691961, 0.01883125, 0.01130444
2.248245, 0.06243211, 0.1040936, 0.1812305, 0.06361797, 0.02814384, 0.1340363, 0.152706, 0.1008515, 0.06187667, 0.02764151, 0.001705545, 0.02241509, 0.01618645, 0.01765125, 0.01687201
2.298206, 0.05894635, 0.106555, 0.1739248, 0.07293477, 0.02648219, 0.1330118, 0.1457423, 0.09589356, 0.07693864, 0.02598546, 0.001631928, 0.02632703, 0.01548506, 0.01654519, 0.01616023
