Name,SNR,EventRate(Hz)
C00,57.2313,0.0638855
C01,10.4033,0.101661
C02,5.23803,0.402201
C03,50.0823,0.0177768
C04,10.6511,0.151103
C05,4.41241,0.177768
C06,6.45557,0.0605524
C07,6.33566,0.142215
C08,53.4578,0.241098
C09,58.0404,0.0661076
C10,3.73374,0.451087
C11,18.2608,0.0261097
C12,40.107,0.0449976
C13,4.22994,0.10055
