Name,SNR,EventRate(Hz)
C00,17.1091,1.74401
C01,29.9947,0.119525
C02,38.4827,1.04015
C03,3.47344,3.74226
C04,5.62162,0.145611
C05,37.6639,0.872719
C06,11.6428,0.132331
C09,0.286646,1.58607
C10,-0.609732,0.60284
C11,-1.4625,0.185927
C12,-0.205974,1.15778
C14,-0.428789,0.318258
C15,-8.08934,1.07098
C16,-1.32177,0.0929635
C19,0.31898,0.513671
C20,-0.376687,0.233357
C21,-0.73888,0.0616595
