Name,SNR,EventRate(Hz)
C00,7.43523,0.636193
C01,4.82205,0.730806
C02,1.85551,2.58392
C03,5.78928,0.535055
C04,6.20713,0.629668
C05,3.49422,1.87269
C06,2.3513,1.06032
C07,3.45852,0.544842
C08,1.60003,1.72262
C09,4.56215,1.2104
C10,210,0.381716
C11,185.663,0.783007
C12,32.2595,0.659031
C13,74.8282,0.0978759
C14,64.1079,0.724281
