Video 1, C00, C01, C02, C03, C04, C05, C06, C07, C08, C09, C10, C11, C12, C13, C14,,,Video 1, C00, C01, C02, C03, C04, C05, C06, C07, C08, C09, C10, C11, C12, C13, C14,
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted,,,Video2-3,C04,C07,,,,C10,C05,C06,C13,C01,C00,C09,C12,C03,C08,C11
1.249025,0.1429124,0.1564547,0.2196137,0.1322998,0.06720027,0.1517858,0.1631972,0.1085512,0.0257738,0.02703964,-0.01430037,-0.03889042,-0.03061681,-0.01486115,-0.01731818,,,,,,,,,,,,,,,,,,,
1.298986,0.1453488,0.1523379,0.2093956,0.1278988,0.06315464,0.1601527,0.1507773,0.1020388,0.0132118,0.03777954,-0.01370194,-0.04540591,-0.03257303,-0.0147943,-0.01787952,,,,,,,,,,,,,,,,,,,
1.348947,0.1356911,0.1564853,0.1974703,0.1289275,0.0536985,0.1526776,0.1397305,0.0983593,0.005661274,0.02882381,-0.01757118,-0.04753801,-0.02241554,-0.003593958,-0.01188154,,,,,,,,,,,,,,,,,,,
1.398908,0.1366139,0.1418527,0.1950445,0.1265182,0.0466393,0.1580655,0.1294077,0.1007169,0.01225922,0.03104882,-0.02118244,-0.04177072,-0.02531529,-0.01198352,-0.02004685,,,,,,,,,,,,,,,,,,,
1.448869,0.126401,0.1390249,0.1903118,0.1125788,0.03866006,0.1523729,0.132893,0.102746,0.009940883,0.02644995,-0.015802,-0.0427402,-0.03545038,-0.01045057,-0.0131066,,,,,,,,,,,,,,,,,,,
1.49883,0.1240169,0.1281879,0.1812297,0.09956409,0.03843534,0.1375066,0.1236115,0.1223868,0.0167217,0.01795002,-0.01375934,-0.05191561,-0.03032403,-0.01324203,-0.01651016,,,,,,,,,,,,,,,,,,,
1.548791,0.1210379,0.1238626,0.1699337,0.09640094,0.02126556,0.1359589,0.124768,0.1246685,0.002344663,0.0292857,-0.02044472,-0.04842941,-0.03168838,-0.007360072,-0.01247786,,,,,,,,,,,,,,,,,,,
1.598752,0.1067848,0.1176486,0.1539875,0.08354197,0.01434763,0.1293644,0.1260168,0.1229989,0.004023457,0.03466737,-0.01831187,-0.04785832,-0.02453685,-0.00791049,-0.01776163,,,,,,,,,,,,,,,,,,,
1.648713,0.09712018,0.1214565,0.1507477,0.07288203,0.006377127,0.1226818,0.1212639,0.1153572,-0.006447016,0.02508425,-0.01953652,-0.05147693,-0.02687261,-0.01378233,-0.01229253,,,,,,,,,,,,,,,,,,,
1.698674,0.09541417,0.1183211,0.1628045,0.06256784,0.01130022,0.1134019,0.1267432,0.1176668,-0.00555062,0.01425332,-0.02037678,-0.04057152,-0.02457407,-0.01178101,-0.01653902,,,,,,,,,,,,,,,,,,,
1.748635,0.09428289,0.1119665,0.1677548,0.05421992,0.006722304,0.09689013,0.1258941,0.1160695,-0.003757354,0.008419416,-0.01356725,-0.03312952,-0.02002087,-0.01103902,-0.01106617,,,,,,,,,,,,,,,,,,,
1.798596,0.07861707,0.1110925,0.1719589,0.05973249,0.005458758,0.09670472,0.131218,0.1087533,-0.01319483,-0.001752904,-0.01920938,-0.03142833,-0.01485904,0.000396716,-0.01742842,,,,,,,,,,,,,,,,,,,
1.848557,0.08307813,0.1079315,0.1643567,0.05226175,0.002422252,0.09917554,0.128102,0.1062803,-0.01046751,-0.008883748,-0.01361859,-0.02943637,-0.008958061,-0.009914689,-0.01624438,,,,,,,,,,,,,,,,,,,
1.898518,0.07554185,0.09780736,0.1674314,0.04616993,0.006480601,0.09580942,0.1240873,0.103784,-0.01795127,-0.002615055,-0.01683545,-0.02866617,-0.01220364,-0.008001691,-0.02022114,,,,,,,,,,,,,,,,,,,
1.948479,0.07638526,0.1006509,0.1638197,0.04678652,0.00796979,0.08146077,0.1104133,0.0862349,-0.01436529,-0.003602383,-0.01575767,-0.02485521,-0.001288182,-0.003337554,-0.01243179,,,,,,,,,,,,,,,,,,,
1.99844,0.0663139,0.09040053,0.1515311,0.04213456,0.009553791,0.0795826,0.1094487,0.08521429,-0.006772182,-0.004455614,-0.01907934,-0.03501656,-0.01135628,-0.002614695,-0.01249286,,,,,,,,,,,,,,,,,,,
2.048401,0.06514055,0.08690614,0.1452978,0.04566968,-0.000948612,0.07768041,0.1113435,0.09086484,-0.01480158,-0.008119213,-0.01515816,-0.02713509,-0.01088453,-0.000177719,-0.01771201,,,,,,,,,,,,,,,,,,,
2.098362,0.05775399,0.08265051,0.1395729,0.04253117,-0.001823649,0.06778023,0.1014474,0.07494539,-0.00900257,-0.01590898,-0.01537359,-0.02647557,-0.005168421,-0.009084131,-0.02257612,,,,,,,,,,,,,,,,,,,
2.148323,0.06109856,0.09080465,0.1254004,0.0500063,0.001781083,0.06199763,0.1017041,0.0664211,-0.009766848,-0.02133011,-0.01685959,-0.02741156,-0.01224107,0.003094651,-0.01474536,,,,,,,,,,,,,,,,,,,
2.198284,0.06242257,0.08402584,0.1255968,0.05288839,0.002819825,0.06673343,0.09257434,0.06361485,-0.01369548,-0.01214011,-0.01749879,-0.02314577,-0.01372046,0.006699183,-0.02499803,,,,,,,,,,,,,,,,,,,
2.248245,0.05311959,0.0968236,0.1198723,0.04988921,0.005660711,0.07260604,0.1003142,0.06286106,-0.01375906,-0.01896608,-0.01329685,-0.02895702,-0.0153599,0.002899663,-0.01440832,,,,,,,,,,,,,,,,,,,
2.298206,0.05034693,0.1013605,0.1114633,0.0584229,-0.000545697,0.07046488,0.08685152,0.05717792,0.0052304,-0.02114375,-0.01988452,-0.02273084,-0.02743414,0.001179727,-0.01388919,,,,,,,,,,,,,,,,,,,
2.348167,0.05849361,0.09455025,0.1058125,0.06058995,0.003972992,0.08459282,0.08355936,0.05867815,-0.008710319,-0.009996491,-0.01843972,-0.02125862,-0.02736951,-0.00516862,-0.01358068,,,,,,,,,,,,,,,,,,,
2.398128,0.06756201,0.07680298,0.1225177,0.06988569,0.012512,0.0925058,0.09635602,0.0672837,-0.003375539,-0.01111784,-0.01387048,-0.01777107,-0.03166605,0.000459535,-0.01971323,,,,,,,,,,,,,,,,,,,
2.448089,0.07162017,0.08783741,0.1159521,0.08418255,0.02036763,0.1030801,0.09753874,0.07453965,0.01268653,-0.003746809,-0.01820911,-0.02503777,-0.01322534,-0.00443484,-0.01697505,,,,,,,,,,,,,,,,,,,
2.49805,0.07334566,0.08303182,0.1165381,0.08335859,0.01620922,0.1041381,0.0933924,0.06033947,0.005909408,-0.01599233,-0.01846226,-0.02354974,-0.0230914,-0.005788896,-0.01466306,,,,,,,,,,,,,,,,,,,
2.548011,0.07813443,0.09499343,0.1245124,0.09283919,0.02351117,0.1110648,0.09505875,0.06307545,0.009148367,6.76E-05,-0.01637316,-0.0242662,-0.02489172,0.01112091,-0.01553528,,,,,,,,,,,,,,,,,,,
