 , C0, C1, C2, C3,,segment,starting frame ,time
Time(s)/Cell Status, accepted, accepted, accepted, accepted,,0,0,0
4.796256,-7.28E-12,0.009373737,0.02034752,0.005475865,,,,
4.846217,-7.28E-12,0.00896658,0.01942098,0.0254131,,,,
4.896178,-7.28E-12,0.008577107,0.01853663,0.03194958,,,,
4.946139,-3.64E-12,0.008204552,0.01769254,0.03044641,,,,
4.9961,-3.64E-12,0.007848179,0.0168869,0.03238311,,,,
5.046061,-3.64E-12,0.007507286,0.01611794,0.03677258,,,,
5.096022,-3.64E-12,0.007181199,0.01538399,0.04185877,,,,
5.145983,-3.64E-12,0.006869277,0.01468347,0.05380911,,,,
5.195944,-3.64E-12,0.006570903,0.01401484,0.05127748,,,,
5.245905,-1.82E-12,0.006285489,0.01337666,0.04886496,,,,
5.295866,-1.82E-12,0.006012473,0.01965857,0.04656595,,,,
5.345827,-1.82E-12,0.005751315,0.0187634,0.0443751,,,,
5.395788,-1.82E-12,0.005501501,0.01790899,0.05384116,,,,
5.445749,0,0.005262538,0.01709349,0.05130802,,,,
5.49571,0,0.005033955,0.01631512,0.05180218,,,,
5.545671,0,0.0048153,0.02170165,0.06211128,,,,
5.595632,0,0.004606143,0.02071344,0.07026277,,,,
5.645593,-1.82E-12,0.00440607,0.01977023,0.07339474,,,,
5.695554,-1.82E-12,0.004214688,0.01886998,0.06994164,,,,
5.745515,-1.82E-12,0.004031619,0.01801072,0.06868086,,,,
5.795476,-1.82E-12,0.003856502,0.01719058,0.06544954,,,,
5.845437,-1.82E-12,0.003688991,0.02081239,0.07341455,,,,
5.895398,-9.09E-13,0.003528756,0.01986468,0.07787651,,,,
5.945359,-9.09E-13,0.00337548,0.01896012,0.08624676,,,,
5.99532,-9.09E-13,0.003228863,0.01809676,0.09674825,,,,
6.045281,-9.09E-13,0.003088614,0.0218591,0.0921964,,,,
6.095242,-9.09E-13,0.002954457,0.02086373,0.1024889,,,,
6.145203,-9.09E-13,0.002826127,0.01991368,0.09766693,,,,
6.195164,0,0.002703372,0.02442113,0.1015607,,,,
6.245125,0,0.002585948,0.02330909,0.09678249,,,,
6.295086,0,0.002473625,0.02224769,0.09222903,,,,
6.345047,-9.09E-13,0.002366181,0.02123462,0.1010338,,,,
6.395008,-9.09E-13,0.002263403,0.02711631,0.09628037,,,,
6.444969,0,0.00216509,0.02588154,0.1173578,,,,
6.49493,-9.09E-13,0.002071047,0.024703,0.1280561,,,,
6.544891,-9.09E-13,0.001981089,0.02357813,0.1330041,,,,
6.594852,-9.09E-13,0.001895039,0.02250448,0.1641655,,,,
6.644813,-9.09E-13,0.001812726,0.02147971,0.1651497,,,,
6.694774,0,0.001733988,0.02050162,0.1764603,,,,
6.744735,-4.55E-13,0.001658671,0.01956806,0.1975938,,,,
6.794696,0,0.00292411,0.01867701,0.2237048,,,,
6.844657,-4.55E-13,0.002797098,0.02324473,0.2209783,,,,
6.894618,-4.55E-13,0.002675604,0.02218626,0.2270494,,,,
6.944579,0,0.002559386,0.02117598,0.2163671,,,,
6.99454,0,0.002448217,0.02021172,0.2061874,,,,
7.044501,-4.55E-13,0.002341876,0.01929136,0.1964866,,,,
7.094462,-4.55E-13,0.002240154,0.01841291,0.1872423,,,,
7.144423,-9.09E-13,0.002142851,0.01757446,0.1921567,,,,
7.194384,-4.55E-13,0.002049774,0.01677419,0.1954706,,,,
7.244345,-4.55E-13,0.004558521,0.01601036,0.2007681,,,,
7.294306,-4.55E-13,0.004360517,0.01528131,0.2067167,,,,
7.344267,-9.09E-13,0.008103866,0.01458547,0.2001968,,,,
7.394228,-4.55E-13,0.007751867,0.0139213,0.222902,,,,
7.444189,0,0.007415157,0.01641027,0.2246411,,,,
7.49415,0,0.007093072,0.0182011,0.2261018,,,,
7.544111,0,0.006784978,0.0173723,0.2154641,,,,
7.594072,0,0.006490265,0.01658124,0.2134432,,,,
7.644033,2.27E-13,0.006208354,0.01844579,0.203401,,,,
7.693994,0,0.008919269,0.02505031,0.2149248,,,,
7.743955,2.27E-13,0.008531851,0.02390962,0.2087186,,,,
7.793916,2.27E-13,0.008161261,0.02282087,0.2157518,,,,
7.843877,2.27E-13,0.007806769,0.0217817,0.2210391,,,,
7.893838,2.27E-13,0.007467674,0.02078985,0.2137223,,,,
